樹鴨 ㄕㄨˋ-ㄧㄚ
東方灰林鴞 ㄉㄨㄥ-ㄈㄤ-ㄏㄨㄟ-ㄌㄧㄣˊ-ㄒㄧㄠˉ
長耳鴞 ㄓㄤˇ-ㄦˇ-ㄒㄧㄠ
短耳鴞 ㄉㄨㄢˇ-ㄦˇ-ㄒㄧㄠ
褐鷹鴞 ㄏㄜˊ-ㄧㄥ-ㄒㄧㄠ
戴勝 ㄉㄞˋ-ㄕㄥˋ
翠鳥 ㄘㄨㄟˋ-ㄋㄧㄠˇ
黑背三趾翠鳥 ㄏㄟ-ㄅㄟˋ-ㄙㄢ-ㄓˇ-ㄘㄨㄟˋ-ㄋㄧㄠˇ
赤翡翠 ㄔˋ-ㄈㄟˇ-ㄘㄨㄟˋ
蒼翡翠 ㄘㄤ-ㄈㄟˇ-ㄘㄨㄟˋ
黑頭翡翠 ㄏㄟ-ㄊㄡˊ-ㄈㄟˇ-ㄘㄨㄟˋ
白領翡翠 ㄅㄞˊ-ㄌㄧㄥˇ-ㄈㄟˇ-ㄘㄨㄟˋ
斑翡翠 ㄅㄢ-ㄈㄟˇ-ㄘㄨㄟˋ
藍喉蜂虎 ㄌㄢˊ-ㄏㄡˊ-ㄈㄥ-ㄏㄨˇ
藍頰蜂虎 ㄌㄢˊ-ㄐㄧㄚˊ-ㄈㄥ-ㄏㄨˇ
栗喉蜂虎 ㄌㄧˋ-ㄏㄡˊ-ㄈㄥ-ㄏㄨˇ
彩虹蜂虎 ㄘㄞˇ-ㄏㄨㄥˊ-ㄈㄥ-ㄏㄨˇ
五色鳥 ㄨˇ-ㄙㄜˋ-ㄋㄧㄠˇ
地啄木 ㄉㄜ˙-ㄓㄨㄛˊ-ㄇㄨˋ
小啄木 ㄒㄧㄠˇ-ㄓㄨㄛˊ-ㄇㄨˋ
大赤啄木 ㄉㄚˋ-ㄔˋ-ㄓㄨㄛˊ-ㄇㄨˋ
綠啄木 ㄌㄩˋ-ㄓㄨㄛˊ-ㄇㄨˋ
紅隼 ㄏㄨㄥˊ-ㄓㄨㄣˇ
紅腳隼 ㄏㄨㄥˊ-ㄐㄧㄠˇ-ㄓㄨㄣˇ
灰背隼 ㄏㄨㄟ-ㄅㄟˋ-ㄓㄨㄣˇ
燕隼 ㄧㄢˋ-ㄓㄨㄣˇ
遊隼 ㄧㄡˊ-ㄓㄨㄣˇ
藍翅八色鳥 ㄌㄢˊ-ㄔˋ-ㄅㄚ-ㄙㄜˋ-ㄋㄧㄠˇ
綠胸八色鳥 ㄌㄩˋ-ㄒㄩㄥ-ㄅㄚ-ㄙㄜˋ-ㄋㄧㄠˇ
灰喉山椒鳥 ㄏㄨㄟ-ㄏㄡˊ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
長尾山椒鳥 ㄔㄤˊ-ㄨㄟˇ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
赤紅山椒鳥 ㄔˋ-ㄏㄨㄥˊ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
琉球山椒鳥 ㄌㄧㄡˊ-ㄑㄧㄡˊ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
灰山椒鳥 ㄏㄨㄟ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
小灰山椒鳥 ㄒㄧㄠˇ-ㄏㄨㄟ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
粉紅山椒鳥 ㄈㄣˇ-ㄏㄨㄥˊ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
花翅山椒鳥 ㄏㄨㄚ-ㄔˋ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
黑原鵑鵙 ㄏㄟ-ㄩㄢˊ-ㄐㄩㄢ-ㄐㄩㄝˊ
黑翅山椒鳥 ㄏㄟ-ㄔˋ-ㄕㄢ-ㄐㄧㄠ-ㄋㄧㄠˇ
綠畫眉 ㄌㄩˋ-ㄏㄨㄚˋ-ㄇㄟˊ
朱鸝 ㄓㄨ-ㄌㄧˊ
菲律賓扇尾鶲 ㄈㄟ-ㄌㄩˋ-ㄅㄧㄣ-ㄕㄢˋ-ㄨㄟˇ-ㄨㄥˉ
大卷尾 ㄉㄚˋ-ㄐㄩㄢˇ-ㄨㄟˇ
灰卷尾 ㄏㄨㄟ-ㄐㄩㄢˋ-ㄨㄟˇ
鴉嘴卷尾 ㄧㄚ-ㄗㄨㄟˇ-ㄐㄩㄢˋ-ㄨㄟˇ
小卷尾 ㄒㄧㄠˇ-ㄐㄩㄢˇ-ㄨㄟˇ
髮冠卷尾 ㄈㄚˇ-ㄍㄨㄢˋ-ㄐㄩㄢˋ-ㄨㄟˇ
黑枕藍鶲 ㄏㄟ-ㄓㄣˇ-ㄌㄢˊ-ㄨㄥ
紫綬帶 ㄗˇ-ㄕㄡˋ-ㄉㄞˋ
阿穆爾綬帶 ㄚˋ-ㄇㄨˋ-ㄦˇ-ㄕㄡˋ-ㄉㄞˋ
虎紋伯勞 ㄏㄨˇ-ㄨㄣˊ-ㄅㄛˊ-ㄌㄠˊ
紅頭伯勞 ㄏㄨㄥˊ-ㄊㄡˊ-ㄅㄛˊ-ㄌㄠˊ
紅背伯勞 ㄏㄨㄥˊ-ㄅㄟˋ-ㄅㄛˊ-ㄌㄠˊ
荒漠伯勞 ㄏㄨㄤ-ㄇㄛˋ-ㄅㄛˊ-ㄌㄠˊ
栗背伯勞 ㄌㄧˋ-ㄅㄟˋ-ㄅㄛˊ-ㄌㄠˊ
棕背伯勞 ㄗㄨㄥ-ㄅㄟˋ-ㄅㄛˊ-ㄌㄠˊ
灰背伯勞 ㄏㄨㄟ-ㄅㄟˋ-ㄅㄛˊ-ㄌㄠˊ
西方灰伯勞 ㄒㄧ-ㄈㄤ-ㄏㄨㄟ-ㄅㄛˊ-ㄌㄠˊ
楔尾伯勞 ㄒㄧㄝˋ-ㄨㄟˇ-ㄅㄛˊ-ㄌㄠˊ
松鴉 ㄙㄨㄥ-ㄧㄚ
灰喜鵲 ㄏㄨㄟ-ㄒㄧˇ-ㄑㄩㄝˋ
臺灣藍鵲 ㄊㄞˊ-ㄨㄢ-ㄌㄢˊ-ㄑㄩㄝˋ
樹鵲 ㄕㄨˋ-ㄑㄩㄝˋ
星鴉 ㄒㄧㄥ-ㄧㄚ
東方寒鴉 ㄉㄨㄥ-ㄈㄤ-ㄏㄢˊ-ㄧㄚ
禿鼻鴉 ㄊㄨ-ㄅㄧˊ-ㄧㄚ
小嘴烏鴉 ㄒㄧㄠˇ-ㄗㄨㄟˇ-ㄨ-ㄧㄚ
巨嘴鴉 ㄐㄩˋ-ㄗㄨㄟˇ-ㄧㄚ
玉頸鴉 ㄩˋ-ㄐㄧㄥˇ-ㄧㄚ
方尾鶲 ㄈㄤ-ㄨㄟˇ-ㄨㄥ
煤山雀 ㄇㄟˊ-ㄕㄢ-ㄑㄩㄝˋ
黃腹山雀 ㄏㄨㄤˊ-ㄈㄨˋ-ㄕㄢ-ㄑㄩㄝˋ
赤腹山雀 ㄔˋ-ㄈㄨˋ-ㄕㄢ-ㄑㄩㄝˋ
雜色山雀 ㄗㄚˊ-ㄙㄜˋ-ㄕㄢ-ㄑㄩㄝˋ
青背山雀 ㄑㄧㄥ-ㄅㄟˋ-ㄕㄢ-ㄑㄩㄝˋ
白頰山雀 ㄅㄞˊ-ㄐㄧㄚˊ-ㄕㄢ-ㄑㄩㄝˋ
黃山雀 ㄏㄨㄤˊ-ㄕㄢ-ㄑㄩㄝˋ
攀雀 ㄆㄢ-ㄑㄩㄝˋ
賽氏短趾百靈 ㄙㄞˋ-ㄕˋ-ㄉㄨㄢˇ-ㄓˇ-ㄅㄞˇ-ㄌㄧㄥˊ
亞洲短趾百靈 ㄧㄚˇ-ㄓㄡ-ㄉㄨㄢˇ-ㄓˇ-ㄅㄞˇ-ㄌㄧㄥˊ
歐亞雲雀 ㄡ-ㄧㄚˇ-ㄩㄣˊ-ㄑㄩㄝˋ
小雲雀 ㄒㄧㄠˇ-ㄩㄣˊ-ㄑㄩㄝˋ
斑紋鷦鶯 ㄅㄢ-ㄨㄣˊ-ㄐㄧㄠ-ㄧㄥ
灰頭鷦鶯 ㄏㄨㄟ-ㄊㄡˊ-ㄐㄧㄠ-ㄧㄥ
褐頭鷦鶯 ㄏㄜˊ-ㄊㄡˊ-ㄐㄧㄠ-ㄧㄥ
棕扇尾鶯 ㄗㄨㄥ-ㄕㄢˋ-ㄨㄟˇ-ㄧㄥ
黃頭扇尾鶯 ㄏㄨㄤˊ-ㄊㄡˊ-ㄕㄢˋ-ㄨㄟˇ-ㄧㄥˉ
厚嘴葦鶯 ㄏㄡˋ-ㄗㄨㄟˇ-ㄨㄟˇ-ㄧㄥ
靴籬鶯 ㄒㄩㄝ-ㄌㄧˊ-ㄧㄥ
雙眉葦鶯 ㄕㄨㄤ-ㄇㄟˊ-ㄨㄟˇ-ㄧㄥ
細紋葦鶯 ㄒㄧˋ-ㄨㄣˊ-ㄨㄟˇ-ㄧㄥ
稻田葦鶯 ㄉㄠˋ-ㄊㄧㄢˊ-ㄨㄟˇ-ㄧㄥ
鈍翅葦鶯 ㄉㄨㄣˋ-ㄔˋ-ㄨㄟˇ-ㄧㄥ
遠東葦鶯 ㄩㄢˇ-ㄉㄨㄥ-ㄨㄟˇ-ㄧㄥ
布氏葦鶯 ㄅㄨˋ-ㄕˋ-ㄨㄟˇ-ㄧㄥ
東方大葦鶯 ㄉㄨㄥ-ㄈㄤ-ㄉㄚˋ-ㄨㄟˇ-ㄧㄥˉ
蒼眉蝗鶯 ㄘㄤ-ㄇㄟˊ-ㄏㄨㄤˊ-ㄧㄥ
庫頁島蝗鶯 ㄎㄨˋ-ㄧㄝˋ-ㄉㄠˇ-ㄏㄨㄤˊ-ㄧㄥˉ
小蝗鶯 ㄒㄧㄠˇ-ㄏㄨㄤˊ-ㄧㄥ
北蝗鶯 ㄅㄟˇ-ㄏㄨㄤˊ-ㄧㄥ
史氏蝗鶯 ㄕˇ-ㄕˋ-ㄏㄨㄤˊ-ㄧㄥ
矛斑蝗鶯 ㄇㄠˊ-ㄅㄢ-ㄏㄨㄤˊ-ㄧㄥ
臺灣叢樹鶯 ㄊㄞˊ-ㄨㄢ-ㄘㄨㄥˊ-ㄕㄨˋ-ㄧㄥˉ
赤褐蝗鶯 ㄔˋ-ㄏㄜˊ-ㄏㄨㄤˊ-ㄧㄥ
臺灣鷦眉 ㄊㄞˊ-ㄨㄢ-ㄐㄧㄠ-ㄇㄟˊ
棕沙燕 ㄗㄨㄥ-ㄕㄚ-ㄧㄢ
灰沙燕 ㄏㄨㄟ-ㄕㄚ-ㄧㄢˋ
家燕 ㄐㄧㄚ-ㄧㄢˋ
洋燕 ㄧㄤˊ-ㄧㄢ
金腰燕 ㄐㄧㄣ-ㄧㄠ-ㄧㄢˋ
赤腰燕 ㄔˋ-ㄧㄠ-ㄧㄢˋ
白腹毛腳燕 ㄅㄞˊ-ㄈㄨˋ-ㄇㄠˊ-ㄐㄧㄠˇ-ㄧㄢˋ
東方毛腳燕 ㄉㄨㄥ-ㄈㄤ-ㄇㄠˊ-ㄐㄧㄠˇ-ㄧㄢˋ
白環鸚嘴鵯 ㄅㄞˊ-ㄏㄨㄢˊ-ㄧㄥ-ㄗㄨㄟˇ-ㄅㄟˉ
烏頭翁 ㄨ-ㄊㄡˊ-ㄨㄥ
白喉紅臀鵯 ㄅㄞˊ-ㄏㄡˊ-ㄏㄨㄥˊ-ㄊㄨㄣˊ-ㄅㄟˉ
紅嘴黑鵯 ㄏㄨㄥˊ-ㄗㄨㄟˇ-ㄏㄟ-ㄅㄟ
棕耳鵯 ㄗㄨㄥ-ㄦˇ-ㄅㄟ
栗背短腳鵯 ㄌㄧˋ-ㄅㄟˋ-ㄉㄨㄢˇ-ㄐㄧㄠˇ-ㄅㄟˉ
林柳鶯 ㄌㄧㄣˊ-ㄌㄧㄡˇ-ㄧㄥ
黃眉柳鶯 ㄏㄨㄤˊ-ㄇㄟˊ-ㄌㄧㄡˇ-ㄧㄥ
淡眉柳鶯 ㄉㄢˋ-ㄇㄟˊ-ㄌㄧㄡˇ-ㄧㄥ
雲南柳鶯 ㄩㄣˊ-ㄋㄢˊ-ㄌㄧㄡˇ-ㄧㄥ
黃腰柳鶯 ㄏㄨㄤˊ-ㄧㄠ-ㄌㄧㄡˇ-ㄧㄥ
巨嘴柳鶯 ㄐㄩˋ-ㄗㄨㄟˇ-ㄌㄧㄡˇ-ㄧㄥ
棕眉柳鶯 ㄗㄨㄥ-ㄇㄟˊ-ㄌㄧㄡˇ-ㄧㄥ
黃腹柳鶯 ㄏㄨㄤˊ-ㄈㄨˋ-ㄌㄧㄡˇ-ㄧㄥ
褐色柳鶯 ㄏㄜˊ-ㄙㄜˋ-ㄌㄧㄡˇ-ㄧㄥ
棕腹柳鶯 ㄗㄨㄥ-ㄈㄨˋ-ㄌㄧㄡˇ-ㄧㄥ
歐亞柳鶯 ㄡ-ㄧㄚˇ-ㄌㄧㄡˇ-ㄧㄥ
嘰喳柳鶯 ㄐㄧ-ㄓㄚ-ㄌㄧㄡˇ-ㄧㄥ
冠羽柳鶯 ㄍㄨㄢˋ-ㄩˇ-ㄌㄧㄡˇ-ㄧㄥ
飯島柳鶯 ㄈㄢˋ-ㄉㄠˇ-ㄌㄧㄡˇ-ㄧㄥ
白眶鶲鶯 ㄅㄞˊ-ㄎㄨㄤ-ㄨㄥ-ㄧㄥ
比氏鶲鶯 ㄅㄧˇ-ㄕˋ-ㄨㄥ-ㄧㄥ
淡尾鶲鶯 ㄉㄢˋ-ㄨㄟˇ-ㄨㄥ-ㄧㄥ
暗綠柳鶯 ㄢˋ-ㄌㄩˋ-ㄌㄧㄡˇ-ㄧㄥ
雙斑綠柳鶯 ㄕㄨㄤ-ㄅㄢ-ㄌㄩˋ-ㄌㄧㄡˇ-ㄧㄥˉ
淡腳柳鶯 ㄉㄢˋ-ㄐㄧㄠˇ-ㄌㄧㄡˇ-ㄧㄥ
庫頁島柳鶯 ㄎㄨˋ-ㄧㄝˋ-ㄉㄠˇ-ㄌㄧㄡˇ-ㄧㄥˉ
日本柳鶯 ㄖˋ-ㄅㄣˇ-ㄌㄧㄡˇ-ㄧㄥ
極北柳鶯 ㄐㄧˊ-ㄅㄟˇ-ㄌㄧㄡˇ-ㄧㄥ
勘察加柳鶯 ㄎㄢ-ㄔㄚˊ-ㄐㄧㄚ-ㄌㄧㄡˇ-ㄧㄥˉ
栗頭鶲鶯 ㄌㄧˋ-ㄊㄡˊ-ㄨㄥ-ㄧㄥ
黑眉柳鶯 ㄏㄟ-ㄇㄟˊ-ㄌㄧㄡˇ-ㄧㄥ
克氏冠紋柳鶯 ㄎㄜˋ-ㄕˋ-ㄍㄨㄢˋ-ㄨㄣˊ-ㄌㄧㄡˇ-ㄧㄥˉ
哈氏冠紋柳鶯 ㄏㄚ-ㄕˋ-ㄍㄨㄢˋ-ㄨㄣˊ-ㄌㄧㄡˇ-ㄧㄥˉ
短尾鶯 ㄉㄨㄢˇ-ㄨㄟˇ-ㄧㄥ
棕面鶯 ㄗㄨㄥ-ㄇㄧㄢˋ-ㄧㄥ
日本樹鶯 ㄖˋ-ㄅㄣˇ-ㄕㄨˋ-ㄧㄥ
遠東樹鶯 ㄩㄢˇ-ㄉㄨㄥ-ㄕㄨˋ-ㄧㄥ
小鶯 ㄒㄧㄠˇ-ㄧㄥ
深山鶯 ㄕㄣ-ㄕㄢ-ㄧㄥ
紅頭山雀 ㄏㄨㄥˊ-ㄊㄡˊ-ㄕㄢ-ㄑㄩㄝˋ
白喉林鶯 ㄅㄞˊ-ㄏㄡˊ-ㄌㄧㄣˊ-ㄧㄥ
漠地林鶯 ㄇㄛˋ-ㄉㄧˋ-ㄌㄧㄣˊ-ㄧㄥ
褐頭花翼 ㄏㄜˊ-ㄊㄡˊ-ㄏㄨㄚ-ㄧˋ
黃羽鸚嘴 ㄏㄨㄤˊ-ㄩˇ-ㄧㄥ-ㄗㄨㄟˇ
粉紅鸚嘴 ㄈㄣˇ-ㄏㄨㄥˊ-ㄧㄥ-ㄗㄨㄟˇ
栗耳鳳眉 ㄌㄧˋ-ㄦˇ-ㄈㄥˋ-ㄇㄟˊ
冠羽畫眉 ㄍㄨㄢˋ-ㄩˇ-ㄏㄨㄚˋ-ㄇㄟˊ
紅脇繡眼 ㄏㄨㄥˊ-ㄒㄧㄝˊ-ㄒㄧㄡˋ-ㄧㄢˇ
斯氏繡眼 ㄙ-ㄕˋ-ㄒㄧㄡˋ-ㄧㄢˇ
日菲繡眼 ㄖˋ-ㄈㄟ-ㄒㄧㄡˋ-ㄧㄢˇ
低地繡眼 ㄉㄧ-ㄉㄧˋ-ㄒㄧㄡˋ-ㄧㄢˇ
山紅頭 ㄕㄢ-ㄏㄨㄥˊ-ㄊㄡˊ
小彎嘴 ㄒㄧㄠˇ-ㄨㄢ-ㄗㄨㄟˇ
大彎嘴 ㄉㄚˋ-ㄨㄢ-ㄗㄨㄟˇ
頭烏線 ㄊㄡˊ-ㄨ-ㄒㄧㄢˋ
繡眼畫眉 ㄒㄧㄡˋ-ㄧㄢˇ-ㄏㄨㄚˋ-ㄇㄟˊ
臺灣噪眉 ㄊㄞˊ-ㄨㄢ-ㄗㄠˋ-ㄇㄟˊ
白耳畫眉 ㄅㄞˊ-ㄦˇ-ㄏㄨㄚˋ-ㄇㄟˊ
紋翼畫眉 ㄨㄣˊ-ㄧˋ-ㄏㄨㄚˋ-ㄇㄟˊ
黃胸藪眉 ㄏㄨㄤˊ-ㄒㄩㄥ-ㄙㄡˇ-ㄇㄟˊ
大陸畫眉 ㄉㄚˋ-ㄌㄨˋ-ㄏㄨㄚˋ-ㄇㄟˊ
臺灣畫眉 ㄊㄞˊ-ㄨㄢ-ㄏㄨㄚˋ-ㄇㄟˊ
黑喉噪眉 ㄏㄟ-ㄏㄡˊ-ㄗㄠˋ-ㄇㄟˊ
白頰噪眉 ㄅㄞˊ-ㄐㄧㄚˊ-ㄗㄠˋ-ㄇㄟˊ
黑臉噪眉 ㄏㄟ-ㄌㄧㄢˇ-ㄗㄠˋ-ㄇㄟˊ
臺灣白喉噪眉 ㄊㄞˊ-ㄨㄢ-ㄅㄞˊ-ㄏㄡˊ-ㄗㄠˋ-ㄇㄟˊ
棕噪眉 ㄗㄨㄥ-ㄗㄠˋ-ㄇㄟˊ
戴菊鳥 ㄉㄞˋ-ㄐㄩˊ-ㄋㄧㄠˇ
火冠戴菊鳥 ㄏㄨㄛˇ-ㄍㄨㄢˋ-ㄉㄞˋ-ㄐㄩˊ-ㄋㄧㄠˇ
茶腹鳾 ㄔㄚˊ-ㄈㄨˋ-ㄕ
河烏 ㄏㄜˊ-ㄨ
亞洲輝椋鳥 ㄧㄚˇ-ㄓㄡ-ㄏㄨㄟ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
歐洲椋鳥 ㄡ-ㄓㄡ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
粉紅椋鳥 ㄈㄣˇ-ㄏㄨㄥˊ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
北椋鳥 ㄅㄟˇ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
小椋鳥 ㄒㄧㄠˇ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
黑領椋鳥 ㄏㄟ-ㄌㄧㄥˇ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
灰背椋鳥 ㄏㄨㄟ-ㄅㄟˋ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
灰頭椋鳥 ㄏㄨㄟ-ㄊㄡˊ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
絲光椋鳥 ㄙ-ㄍㄨㄤ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
灰椋鳥 ㄏㄨㄟ-ㄌㄧㄤˊ-ㄋㄧㄠˇ
家八哥 ㄐㄧㄚ-ㄅㄚ-ㄍㄜ
白尾八哥 ㄅㄞˊ-ㄨㄟˇ-ㄅㄚ-ㄍㄜ
白氏地鶇 ㄅㄞˊ-ㄕˋ-ㄉㄧˋ-ㄉㄨㄥ
虎斑地鶇 ㄏㄨˇ-ㄅㄢ-ㄉㄧˋ-ㄉㄨㄥ
白眉地鶇 ㄅㄞˊ-ㄇㄟˊ-ㄉㄧˋ-ㄉㄨㄥ
橙頭地鶇 ㄔㄥˊ-ㄊㄡˊ-ㄉㄧˋ-ㄉㄨㄥ
寶興歌鶇 ㄅㄠˇ-ㄒㄧㄥ-ㄍㄜ-ㄉㄨㄥ
中國黑鶇 ㄓㄨㄥ-ㄍㄨㄛˊ-ㄏㄟ-ㄉㄨㄥ
白頭鶇 ㄅㄞˊ-ㄊㄡˊ-ㄉㄨㄥ
烏灰鶇 ㄨ-ㄏㄨㄟ-ㄉㄨㄥ
灰背鶇 ㄏㄨㄟ-ㄅㄟˋ-ㄉㄨㄥ
白眉鶇 ㄅㄞˊ-ㄇㄟˊ-ㄉㄨㄥ
赤腹鶇 ㄔˋ-ㄈㄨˋ-ㄉㄨㄥ
白腹鶇 ㄅㄞˊ-ㄈㄨˋ-ㄉㄨㄥ
黑頸鶇 ㄏㄟ-ㄐㄧㄥˇ-ㄉㄨㄥ
赤頸鶇 ㄔˋ-ㄐㄧㄥˇ-ㄉㄨㄥ
斑點鶇 ㄅㄢ-ㄉㄧㄢˇ-ㄉㄨㄥ
紅尾鶇 ㄏㄨㄥˊ-ㄨㄟˇ-ㄉㄨㄥ
灰斑鶲 ㄏㄨㄟ-ㄅㄢ-ㄨㄥ
烏鶲 ㄨ-ㄨㄥ
紅尾鶲 ㄏㄨㄥˊ-ㄨㄟˇ-ㄨㄥ
寬嘴鶲 ㄎㄨㄢ-ㄗㄨㄟˇ-ㄨㄥ
褐胸鶲 ㄏㄜˊ-ㄒㄩㄥ-ㄨㄥ
斑鶲 ㄅㄢ-ㄨㄥ
鵲鴝 ㄑㄩㄝˋ-ㄑㄩˊ
白腰鵲鴝 ㄅㄞˊ-ㄧㄠ-ㄑㄩㄝˋ-ㄑㄩˊ
海南藍仙鶲 ㄏㄞˇ-ㄋㄢˊ-ㄌㄢˊ-ㄒㄧㄢ-ㄨㄥˉ
中華藍仙鶲 ㄓㄨㄥ-ㄏㄨㄚˊ-ㄌㄢˊ-ㄒㄧㄢ-ㄨㄥˉ
山藍仙鶲 ㄕㄢ-ㄌㄢˊ-ㄒㄧㄢ-ㄨㄥ
白喉林鶲 ㄅㄞˊ-ㄏㄡˊ-ㄌㄧㄣˊ-ㄨㄥ
棕腹大仙鶲 ㄗㄨㄥ-ㄈㄨˋ-ㄉㄚˋ-ㄒㄧㄢ-ㄨㄥˉ
棕腹仙鶲 ㄗㄨㄥ-ㄈㄨˋ-ㄒㄧㄢ-ㄨㄥ
黃腹琉璃 ㄏㄨㄤˊ-ㄈㄨˋ-ㄌㄧㄡˊ-ㄌㄧˊ
白腹琉璃 ㄅㄞˊ-ㄈㄨˋ-ㄌㄧㄡˊ-ㄌㄧˊ
琉璃藍鶲 ㄌㄧㄡˊ-ㄌㄧˊ-ㄌㄢˊ-ㄨㄥ
銅藍鶲 ㄊㄨㄥˊ-ㄌㄢˊ-ㄨㄥ
白喉短翅鶇 ㄅㄞˊ-ㄏㄡˊ-ㄉㄨㄢˇ-ㄔˋ-ㄉㄨㄥˉ
小翼鶇 ㄒㄧㄠˇ-ㄧˋ-ㄉㄨㄥ
紅尾歌鴝 ㄏㄨㄥˊ-ㄨㄟˇ-ㄍㄜ-ㄑㄩˊ
日本歌鴝 ㄖˋ-ㄅㄣˇ-ㄍㄜ-ㄑㄩˊ
琉球歌鴝 ㄌㄧㄡˊ-ㄑㄧㄡˊ-ㄍㄜ-ㄑㄩˊ
藍歌鴝 ㄌㄢˊ-ㄍㄜ-ㄑㄩˊ
藍喉鴝 ㄌㄢˊ-ㄏㄡˊ-ㄑㄩˊ
臺灣紫嘯鶇 ㄊㄞˊ-ㄨㄢ-ㄗˇ-ㄒㄧㄠˋ-ㄉㄨㄥˉ
白斑紫嘯鶇 ㄅㄞˊ-ㄅㄢ-ㄗˇ-ㄒㄧㄠˋ-ㄉㄨㄥˉ
小剪尾 ㄒㄧㄠˇ-ㄐㄧㄢˇ-ㄨㄟˇ
野鴝 ㄧㄝˇ-ㄑㄩˊ
白尾鴝 ㄅㄞˊ-ㄨㄟˇ-ㄑㄩˊ
藍尾鴝 ㄌㄢˊ-ㄨㄟˇ-ㄑㄩˊ
白眉林鴝 ㄅㄞˊ-ㄇㄟˊ-ㄌㄧㄣˊ-ㄑㄩˊ
栗背林鴝 ㄌㄧˋ-ㄅㄟˋ-ㄌㄧㄣˊ-ㄑㄩˊ
白眉鶲 ㄅㄞˊ-ㄇㄟˊ-ㄨㄥ
黃眉黃鶲 ㄏㄨㄤˊ-ㄇㄟˊ-ㄏㄨㄤˊ-ㄨㄥ
琉球姬鶲 ㄌㄧㄡˊ-ㄑㄧㄡˊ-ㄐㄧ-ㄨㄥ
白眉黃鶲 ㄅㄞˊ-ㄇㄟˊ-ㄏㄨㄤˊ-ㄨㄥ
鏽胸藍姬鶲 ㄒㄧㄡˋ-ㄒㄩㄥ-ㄌㄢˊ-ㄐㄧ-ㄨㄥˉ
黃胸青鶲 ㄏㄨㄤˊ-ㄒㄩㄥ-ㄑㄧㄥ-ㄨㄥ
橙胸姬鶲 ㄔㄥˊ-ㄒㄩㄥ-ㄐㄧ-ㄨㄥ
紅喉鶲 ㄏㄨㄥˊ-ㄏㄡˊ-ㄨㄥ
紅胸鶲 ㄏㄨㄥˊ-ㄒㄩㄥ-ㄨㄥ
藍額紅尾鴝 ㄌㄢˊ-ㄜˊ-ㄏㄨㄥˊ-ㄨㄟˇ-ㄑㄩˊ
鉛色水鶇 ㄑㄧㄢ-ㄙㄜˋ-ㄕㄨㄟˇ-ㄉㄨㄥ
白頂溪鴝 ㄅㄞˊ-ㄉㄧㄥˇ-ㄒㄧ-ㄑㄩˊ
赭紅尾鴝 ㄓㄜˇ-ㄏㄨㄥˊ-ㄨㄟˇ-ㄑㄩˊ
黃尾鴝 ㄏㄨㄤˊ-ㄨㄟˇ-ㄑㄩˊ
白喉磯鶇 ㄅㄞˊ-ㄏㄡˊ-ㄐㄧ-ㄉㄨㄥ
藍磯鶇 ㄌㄢˊ-ㄐㄧ-ㄉㄨㄥ
黑喉鴝 ㄏㄟ-ㄏㄡˊ-ㄑㄩˊ
灰叢鴝 ㄏㄨㄟ-ㄘㄨㄥˊ-ㄑㄩˊ
黃連雀 ㄏㄨㄤˊ-ㄌㄧㄢˊ-ㄑㄩㄝˋ
朱連雀 ㄓㄨ-ㄌㄧㄢˊ-ㄑㄩㄝˋ
綠啄花 ㄌㄩˋ-ㄓㄨㄛˊ-ㄏㄨㄚ
紅胸啄花 ㄏㄨㄥˊ-ㄒㄩㄥ-ㄓㄨㄛˊ-ㄏㄨㄚ
黃腹花蜜鳥 ㄏㄨㄤˊ-ㄈㄨˋ-ㄏㄨㄚ-ㄇㄧˋ-ㄋㄧㄠˇ
藍喉太陽鳥 ㄌㄢˊ-ㄏㄡˊ-ㄊㄞˋ-ㄧㄤˊ-ㄋㄧㄠˇ
叉尾太陽鳥 ㄔㄚ-ㄨㄟˇ-ㄊㄞˋ-ㄧㄤˊ-ㄋㄧㄠˇ
白喉文鳥 ㄅㄞˊ-ㄏㄡˊ-ㄨㄣˊ-ㄋㄧㄠˇ
斑文鳥 ㄅㄢ-ㄨㄣˊ-ㄋㄧㄠˇ
白腰文鳥 ㄅㄞˊ-ㄧㄠ-ㄨㄣˊ-ㄋㄧㄠˇ
