樹鴨 ㄕㄨˋ-ㄧㄚ
普通夜鷹 ㄆㄨˇ-ㄊㄨㄥ-ㄧㄝˋ-ㄧㄥ
南亞夜鷹 ㄋㄢˊ-ㄧㄚˇ-ㄧㄝˋ-ㄧㄥ
白喉針尾雨燕 ㄅㄞˊ-ㄏㄡˊ-ㄓㄣ-ㄨㄟˇ-ㄩˇ-ㄧㄢˉ
灰喉針尾雨燕 ㄏㄨㄟ-ㄏㄡˊ-ㄓㄣ-ㄨㄟˇ-ㄩˇ-ㄧㄢˉ
紫針尾雨燕 ㄗˇ-ㄓㄣ-ㄨㄟˇ-ㄩˇ-ㄧㄢˉ
短嘴金絲燕 ㄉㄨㄢˇ-ㄗㄨㄟˇ-ㄐㄧㄣ-ㄙ-ㄧㄢˋ
叉尾雨燕 ㄔㄚ-ㄨㄟˇ-ㄩˇ-ㄧㄢ
小雨燕 ㄒㄧㄠˇ-ㄩˇ-ㄧㄢˋ
西方秧雞 ㄒㄧ-ㄈㄤ-ㄧㄤ-ㄐㄧ
東亞秧雞 ㄉㄨㄥ-ㄧㄚˇ-ㄧㄤ-ㄐㄧ
灰胸秧雞 ㄏㄨㄟ-ㄒㄩㄥ-ㄧㄤ-ㄐㄧ
斑胸秧雞 ㄅㄢ-ㄒㄩㄥ-ㄧㄤ-ㄐㄧ
紅冠水雞 ㄏㄨㄥˊ-ㄍㄨㄢˋ-ㄕㄨㄟˇ-ㄐㄧ
白冠雞 ㄅㄞˊ-ㄍㄨㄢˋ-ㄐㄧ
灰頭紫水雞 ㄏㄨㄟ-ㄊㄡˊ-ㄗˇ-ㄕㄨㄟˇ-ㄐㄧˉ
白眉秧雞 ㄅㄞˊ-ㄇㄟˊ-ㄧㄤ-ㄐㄧ
董雞 ㄉㄨㄥˇ-ㄐㄧ
白腹秧雞 ㄅㄞˊ-ㄈㄨˋ-ㄧㄤ-ㄐㄧ
紅腳秧雞 ㄏㄨㄥˊ-ㄐㄧㄠˇ-ㄧㄤ-ㄐㄧ
灰腳秧雞 ㄏㄨㄟ-ㄐㄧㄠˇ-ㄧㄤ-ㄐㄧ
緋秧雞 ㄈㄟ-ㄧㄤ-ㄐㄧ
斑脇秧雞 ㄅㄢ-ㄒㄧㄝˊ-ㄧㄤ-ㄐㄧ
紅腳苦惡鳥 ㄏㄨㄥˊ-ㄐㄧㄠˇ-ㄎㄨˇ-ㄜˋ-ㄋㄧㄠˇ
小秧雞 ㄒㄧㄠˇ-ㄧㄤ-ㄐㄧ
簑羽鶴 ㄙㄨㄛ-ㄩˇ-ㄏㄜˋ
沙丘鶴 ㄕㄚ-ㄑㄧㄡ-ㄏㄜˋ
白枕鶴 ㄅㄞˊ-ㄓㄣˇ-ㄏㄜˋ
灰鶴 ㄏㄨㄟ-ㄏㄜˋ
白頭鶴 ㄅㄞˊ-ㄊㄡˊ-ㄏㄜˋ
高蹺鴴 ㄍㄠ-ㄑㄧㄠ-ㄏㄥˊ
黑領高蹺鴴 ㄏㄟ-ㄌㄧㄥˇ-ㄍㄠ-ㄑㄧㄠ-ㄏㄥˊ
反嘴鴴 ㄈㄢˇ-ㄗㄨㄟˇ-ㄏㄥˊ
蠣鴴 ㄌㄧˋ-ㄏㄥˊ
灰斑鴴 ㄏㄨㄟ-ㄅㄢ-ㄏㄥˊ
太平洋金斑鴴 ㄊㄞˋ-ㄆㄧㄥˊ-ㄧㄤˊ-ㄐㄧㄣ-ㄅㄢˉ-ㄏㄥˊ
小辮鴴 ㄒㄧㄠˇ-ㄅㄧㄢˋ-ㄏㄥˊ
跳鴴 ㄊㄧㄠˋ-ㄏㄥˊ
蒙古鴴 ㄇㄥˊ-ㄍㄨˇ-ㄏㄥˊ
鐵嘴鴴 ㄊㄧㄝˇ-ㄗㄨㄟˇ-ㄏㄥˊ
東方環頸鴴 ㄉㄨㄥ-ㄈㄤ-ㄏㄨㄢˊ-ㄐㄧㄥˇ-ㄏㄥˊ
白臉鴴 ㄅㄞˊ-ㄌㄧㄢˇ-ㄏㄥˊ
環頸鴴 ㄏㄨㄢˊ-ㄐㄧㄥˇ-ㄏㄥˊ
劍鴴 ㄐㄧㄢˋ-ㄏㄥˊ
小環頸鴴 ㄒㄧㄠˇ-ㄏㄨㄢˊ-ㄐㄧㄥˇ-ㄏㄥˊ
東方紅胸鴴 ㄉㄨㄥ-ㄈㄤ-ㄏㄨㄥˊ-ㄒㄩㄥ-ㄏㄥˊ
彩鷸 ㄘㄞˇ-ㄩˋ
水雉 ㄕㄨㄟˇ-ㄓˋ
中杓鷸 ㄓㄨㄥ-ㄕㄠˊ-ㄩˋ
小杓鷸 ㄒㄧㄠˇ-ㄕㄠˊ-ㄩˋ
黦鷸 ㄩˋ-ㄩˋ
大杓鷸 ㄉㄚˋ-ㄕㄠˊ-ㄩˋ
斑尾鷸 ㄅㄢ-ㄨㄟˇ-ㄩˋ
黑尾鷸 ㄏㄟ-ㄨㄟˇ-ㄩˋ
翻石鷸 ㄈㄢ-ㄕˊ-ㄩˋ
大濱鷸 ㄉㄚˋ-ㄅㄧㄣ-ㄩˋ
紅腹濱鷸 ㄏㄨㄥˊ-ㄈㄨˋ-ㄅㄧㄣ-ㄩˋ
流蘇鷸 ㄌㄧㄡˊ-ㄙㄨ-ㄩˋ
寬嘴鷸 ㄎㄨㄢ-ㄗㄨㄟˇ-ㄩˋ
尖尾濱鷸 ㄐㄧㄢ-ㄨㄟˇ-ㄅㄧㄣ-ㄩˋ
高蹺濱鷸 ㄍㄠ-ㄑㄧㄠ-ㄅㄧㄣ-ㄩˋ
彎嘴濱鷸 ㄨㄢ-ㄗㄨㄟˇ-ㄅㄧㄣ-ㄩˋ
丹氏濱鷸 ㄉㄢ-ㄕˋ-ㄅㄧㄣ-ㄩˋ
長趾濱鷸 ㄓㄤˇ-ㄓˇ-ㄅㄧㄣ-ㄩˋ
琵嘴鷸 ㄆㄧˊ-ㄗㄨㄟˇ-ㄩˋ
紅胸濱鷸 ㄏㄨㄥˊ-ㄒㄩㄥ-ㄅㄧㄣ-ㄩˋ
三趾濱鷸 ㄙㄢ-ㄓˇ-ㄅㄧㄣ-ㄩˋ
黑腹濱鷸 ㄏㄟ-ㄈㄨˋ-ㄅㄧㄣ-ㄩˋ
小濱鷸 ㄒㄧㄠˇ-ㄅㄧㄣ-ㄩˋ
黃胸鷸 ㄏㄨㄤˊ-ㄒㄩㄥ-ㄩˋ
美洲尖尾濱鷸 ㄇㄟˇ-ㄓㄡ-ㄐㄧㄢ-ㄨㄟˇ-ㄅㄧㄣˉ-ㄩˋ
西濱鷸 ㄒㄧ-ㄅㄧㄣ-ㄩˋ
半蹼鷸 ㄅㄢˋ-ㄆㄨˊ-ㄩˋ
長嘴半蹼鷸 ㄔㄤˊ-ㄗㄨㄟˇ-ㄅㄢˋ-ㄆㄨˊ-ㄩˋ
小鷸 ㄒㄧㄠˇ-ㄩˋ
山鷸 ㄕㄢ-ㄩˋ
孤田鷸 ㄍㄨ-ㄊㄧㄢˊ-ㄩˋ
大地鷸 ㄉㄚˋ-ㄉㄧˋ-ㄩˋ
田鷸 ㄊㄧㄢˊ-ㄩˋ
針尾鷸 ㄓㄣ-ㄨㄟˇ-ㄩˋ
中地鷸 ㄓㄨㄥ-ㄉㄧˋ-ㄩˋ
反嘴鷸 ㄈㄢˇ-ㄗㄨㄟˇ-ㄩˋ
紅領瓣足鷸 ㄏㄨㄥˊ-ㄌㄧㄥˇ-ㄅㄢˋ-ㄗㄨˊ-ㄩˋ
灰瓣足鷸 ㄏㄨㄟ-ㄅㄢˋ-ㄗㄨˊ-ㄩˋ
磯鷸 ㄐㄧ-ㄩˋ
白腰草鷸 ㄅㄞˊ-ㄧㄠ-ㄘㄠˇ-ㄩˋ
黃足鷸 ㄏㄨㄤˊ-ㄗㄨˊ-ㄩˋ
美洲黃足鷸 ㄇㄟˇ-ㄓㄡ-ㄏㄨㄤˊ-ㄗㄨˊ-ㄩˋ
鶴鷸 ㄏㄜˋ-ㄩˋ
青足鷸 ㄑㄧㄥ-ㄗㄨˊ-ㄩˋ
諾氏鷸 ㄋㄨㄛˋ-ㄕˋ-ㄩˋ
小黃腳鷸 ㄒㄧㄠˇ-ㄏㄨㄤˊ-ㄐㄧㄠˇ-ㄩˋ
小青足鷸 ㄒㄧㄠˇ-ㄑㄧㄥ-ㄗㄨˊ-ㄩˋ
鷹斑鷸 ㄧㄥ-ㄅㄢ-ㄩˋ
赤足鷸 ㄔˋ-ㄗㄨˊ-ㄩˋ
林三趾鶉 ㄌㄧㄣˊ-ㄙㄢ-ㄓˇ-ㄔㄨㄣˊ
黃腳三趾鶉 ㄏㄨㄤˊ-ㄐㄧㄠˇ-ㄙㄢ-ㄓˇ-ㄔㄨㄣˊ
棕三趾鶉 ㄗㄨㄥ-ㄙㄢ-ㄓˇ-ㄔㄨㄣˊ
燕鴴 ㄧㄢˋ-ㄏㄥˊ
灰賊鷗 ㄏㄨㄟ-ㄗㄟˊ-ㄡ
中賊鷗 ㄓㄨㄥ-ㄗㄟˊ-ㄡ
短尾賊鷗 ㄉㄨㄢˇ-ㄨㄟˇ-ㄗㄟˊ-ㄡ
長尾賊鷗 ㄓㄤˇ-ㄨㄟˇ-ㄗㄟˊ-ㄡ
崖海鴉 ㄧㄞˊ-ㄏㄞˇ-ㄧㄚ
扁嘴海雀 ㄅㄧㄢˇ-ㄗㄨㄟˇ-ㄏㄞˇ-ㄑㄩㄝˋ
冠海雀 ㄍㄨㄢˋ-ㄏㄞˇ-ㄑㄩㄝˋ
三趾鷗 ㄙㄢ-ㄓˇ-ㄡ
叉尾鷗 ㄔㄚ-ㄨㄟˇ-ㄡ
黑嘴鷗 ㄏㄟ-ㄗㄨㄟˇ-ㄡ
細嘴鷗 ㄒㄧˋ-ㄗㄨㄟˇ-ㄡ
紅嘴鷗 ㄏㄨㄥˊ-ㄗㄨㄟˇ-ㄡ
棕頭鷗 ㄗㄨㄥ-ㄊㄡˊ-ㄡ
小鷗 ㄒㄧㄠˇ-ㄡ
笑鷗 ㄒㄧㄠˋ-ㄡ
弗氏鷗 ㄈㄨˊ-ㄕˋ-ㄡ
遺鷗 ㄧˊ-ㄡ
漁鷗 ㄩˊ-ㄡ
黑尾鷗 ㄏㄟ-ㄨㄟˇ-ㄡ
歐亞海鷗 ㄡ-ㄧㄚˇ-ㄏㄞˇ-ㄡ
銀鷗 ㄧㄣˊ-ㄡ
小黑背鷗 ㄒㄧㄠˇ-ㄏㄟ-ㄅㄟˋ-ㄡ
灰背鷗 ㄏㄨㄟ-ㄅㄟˋ-ㄡ
北極鷗 ㄅㄟˇ-ㄐㄧˊ-ㄡ
玄燕鷗 ㄒㄩㄢˊ-ㄧㄢˋ-ㄡ
黑玄燕鷗 ㄏㄟ-ㄒㄩㄢˊ-ㄧㄢˋ-ㄡ
烏領燕鷗 ㄨ-ㄌㄧㄥˇ-ㄧㄢˋ-ㄡ
白眉燕鷗 ㄅㄞˊ-ㄇㄟˊ-ㄧㄢˋ-ㄡ
白腰燕鷗 ㄅㄞˊ-ㄧㄠ-ㄧㄢˋ-ㄡ
小燕鷗 ㄒㄧㄠˇ-ㄧㄢˋ-ㄡ
鷗嘴燕鷗 ㄡ-ㄗㄨㄟˇ-ㄧㄢˋ-ㄡ
裏海燕鷗 ㄌㄧˇ-ㄏㄞˇ-ㄧㄢˋ-ㄡ
黑浮鷗 ㄏㄟ-ㄈㄨˊ-ㄡ
白翅黑燕鷗 ㄅㄞˊ-ㄔˋ-ㄏㄟ-ㄧㄢˋ-ㄡˉ
黑腹燕鷗 ㄏㄟ-ㄈㄨˋ-ㄧㄢˋ-ㄡ
紅燕鷗 ㄏㄨㄥˊ-ㄧㄢˋ-ㄡ
蒼燕鷗 ㄘㄤ-ㄧㄢˋ-ㄡ
鳳頭燕鷗 ㄈㄥˋ-ㄊㄡˊ-ㄧㄢˋ-ㄡ
白嘴端燕鷗 ㄅㄞˊ-ㄗㄨㄟˇ-ㄉㄨㄢ-ㄧㄢˋ-ㄡˉ
小鳳頭燕鷗 ㄒㄧㄠˇ-ㄈㄥˋ-ㄊㄡˊ-ㄧㄢˋ-ㄡˉ
黑嘴端鳳頭燕鷗 ㄏㄟ-ㄗㄨㄟˇ-ㄉㄨㄢ-ㄈㄥˋ-ㄊㄡˊ-ㄧㄢˋ-ㄡˉ
紅喉潛鳥 ㄏㄨㄥˊ-ㄏㄡˊ-ㄑㄧㄢˊ-ㄋㄧㄠˇ
黑喉潛鳥 ㄏㄟ-ㄏㄡˊ-ㄑㄧㄢˊ-ㄋㄧㄠˇ
太平洋潛鳥 ㄊㄞˋ-ㄆㄧㄥˊ-ㄧㄤˊ-ㄑㄧㄢˊ-ㄋㄧㄠˇ
白嘴潛鳥 ㄅㄞˊ-ㄗㄨㄟˇ-ㄑㄧㄢˊ-ㄋㄧㄠˇ
黑背信天翁 ㄏㄟ-ㄅㄟˋ-ㄒㄧㄣˋ-ㄊㄧㄢ-ㄨㄥˉ
黑腳信天翁 ㄏㄟ-ㄐㄧㄠˇ-ㄒㄧㄣˋ-ㄊㄧㄢ-ㄨㄥˉ
短尾信天翁 ㄉㄨㄢˇ-ㄨㄟˇ-ㄒㄧㄣˋ-ㄊㄧㄢ-ㄨㄥˉ
黃蹼洋海燕 ㄏㄨㄤˊ-ㄆㄨˊ-ㄧㄤˊ-ㄏㄞˇ-ㄧㄢˋ
白腰叉尾海燕 ㄅㄞˊ-ㄧㄠ-ㄔㄚ-ㄨㄟˇ-ㄏㄞˇ-ㄧㄢˋ
黑叉尾海燕 ㄏㄟ-ㄔㄚ-ㄨㄟˇ-ㄏㄞˇ-ㄧㄢˋ
褐翅叉尾海燕 ㄏㄜˊ-ㄔˋ-ㄔㄚ-ㄨㄟˇ-ㄏㄞˇ-ㄧㄢˋ
暴風鸌 ㄅㄠˋ-ㄈㄥ-ㄏㄨㄛˋ
索氏圓尾鸌 ㄙㄨㄛˇ-ㄕˋ-ㄩㄢˊ-ㄨㄟˇ-ㄏㄨㄛˋ
白腹穴鳥 ㄅㄞˊ-ㄈㄨˋ-ㄒㄩㄝˋ-ㄋㄧㄠˇ
穴鳥 ㄒㄩㄝˋ-ㄋㄧㄠˇ
黑背白腹穴鳥 ㄏㄟ-ㄅㄟˋ-ㄅㄞˊ-ㄈㄨˋ-ㄒㄩㄝˋ-ㄋㄧㄠˇ
大水薙鳥 ㄉㄚˋ-ㄕㄨㄟˇ-ㄊㄧˋ-ㄋㄧㄠˇ
肉足水薙鳥 ㄖㄡˋ-ㄗㄨˊ-ㄕㄨㄟˇ-ㄊㄧˋ-ㄋㄧㄠˇ
長尾水薙鳥 ㄓㄤˇ-ㄨㄟˇ-ㄕㄨㄟˇ-ㄊㄧˋ-ㄋㄧㄠˇ
灰水薙鳥 ㄏㄨㄟ-ㄕㄨㄟˇ-ㄊㄧˋ-ㄋㄧㄠˇ
短尾水薙鳥 ㄉㄨㄢˇ-ㄨㄟˇ-ㄕㄨㄟˇ-ㄊㄧˋ-ㄋㄧㄠˇ
黑細鸌 ㄏㄟ-ㄒㄧˋ-ㄏㄨㄛˋ
黑鸛 ㄏㄟ-ㄍㄨㄢˋ
東方白鸛 ㄉㄨㄥ-ㄈㄤ-ㄅㄞˊ-ㄍㄨㄢˋ
白斑軍艦鳥 ㄅㄞˊ-ㄅㄢ-ㄐㄩㄣ-ㄐㄧㄢˋ-ㄋㄧㄠˇ
聖誕島軍艦鳥 ㄕㄥˋ-ㄉㄢˋ-ㄉㄠˇ-ㄐㄩㄣ-ㄐㄧㄢˋ-ㄋㄧㄠˇ
軍艦鳥 ㄐㄩㄣ-ㄐㄧㄢˋ-ㄋㄧㄠˇ
藍臉鰹鳥 ㄌㄢˊ-ㄌㄧㄢˇ-ㄐㄧㄢ-ㄋㄧㄠˇ
白腹鰹鳥 ㄅㄞˊ-ㄈㄨˋ-ㄐㄧㄢ-ㄋㄧㄠˇ
紅腳鰹鳥 ㄏㄨㄥˊ-ㄐㄧㄠˇ-ㄐㄧㄢ-ㄋㄧㄠˇ
海鸕鷀 ㄏㄞˇ-ㄌㄨˊ-ㄘˊ
鸕鷀 ㄌㄨˊ-ㄘˊ
丹氏鸕鷀 ㄉㄢ-ㄕˋ-ㄌㄨˊ-ㄘˊ
卷羽鵜鶘 ㄐㄩㄢˋ-ㄩˇ-ㄊㄧˊ-ㄏㄨˊ
大麻鷺 ㄉㄚˋ-ㄇㄚˊ-ㄌㄨˋ
黃小鷺 ㄏㄨㄤˊ-ㄒㄧㄠˇ-ㄌㄨˋ
秋小鷺 ㄑㄧㄡ-ㄒㄧㄠˇ-ㄌㄨˋ
栗小鷺 ㄌㄧˋ-ㄒㄧㄠˇ-ㄌㄨˋ
黃頸黑鷺 ㄏㄨㄤˊ-ㄐㄧㄥˇ-ㄏㄟ-ㄌㄨˋ
蒼鷺 ㄘㄤ-ㄌㄨˋ
紫鷺 ㄗˇ-ㄌㄨˋ
大白鷺 ㄉㄚˋ-ㄅㄞˊ-ㄌㄨˋ
中白鷺 ㄓㄨㄥ-ㄅㄞˊ-ㄌㄨˋ
白臉鷺 ㄅㄞˊ-ㄌㄧㄢˇ-ㄌㄨˋ
唐白鷺 ㄊㄤˊ-ㄅㄞˊ-ㄌㄨˋ
小白鷺 ㄒㄧㄠˇ-ㄅㄞˊ-ㄌㄨˋ
岩鷺 ㄧㄢˊ-ㄌㄨˋ
白頸黑鷺 ㄅㄞˊ-ㄐㄧㄥˇ-ㄏㄟ-ㄌㄨˋ
黃頭鷺 ㄏㄨㄤˊ-ㄊㄡˊ-ㄌㄨˋ
印度池鷺 ㄧㄣˋ-ㄉㄨˋ-ㄔˊ-ㄌㄨˋ
池鷺 ㄔˊ-ㄌㄨˋ
爪哇池鷺 ㄓㄠˇ-ㄨㄚ-ㄔˊ-ㄌㄨˋ
綠簑鷺 ㄌㄩˋ-ㄙㄨㄛ-ㄌㄨˋ
夜鷺 ㄧㄝˋ-ㄌㄨˋ
棕夜鷺 ㄗㄨㄥ-ㄧㄝˋ-ㄌㄨˋ
麻鷺 ㄇㄚˊ-ㄌㄨˋ
黑冠麻鷺 ㄏㄟ-ㄍㄨㄢˋ-ㄇㄚˊ-ㄌㄨˋ
朱鷺 ㄓㄨ-ㄌㄨˋ
白琵鷺 ㄅㄞˊ-ㄆㄧˊ-ㄌㄨˋ
魚鷹 ㄩˊ-ㄧㄥ
黑翅鳶 ㄏㄟ-ㄔˋ-ㄩㄢ
東方蜂鷹 ㄉㄨㄥ-ㄈㄤ-ㄈㄥ-ㄧㄥ
黑冠鵑隼 ㄏㄟ-ㄍㄨㄢˋ-ㄐㄩㄢ-ㄓㄨㄣˇ
熊鷹 ㄒㄩㄥˊ-ㄧㄥ
林鵰 ㄌㄧㄣˊ-ㄉㄧㄠ
花鵰 ㄏㄨㄚ-ㄉㄧㄠ
靴隼鵰 ㄒㄩㄝ-ㄓㄨㄣˇ-ㄉㄧㄠ
白肩鵰 ㄅㄞˊ-ㄐㄧㄢ-ㄉㄧㄠ
金鵰 ㄐㄧㄣ-ㄉㄧㄠ
白腹鵰 ㄅㄞˊ-ㄈㄨˋ-ㄉㄧㄠ
灰面鵟鷹 ㄏㄨㄟ-ㄇㄧㄢˋ-ㄎㄨㄤˊ-ㄧㄥ
西方澤鵟 ㄒㄧ-ㄈㄤ-ㄗㄜˊ-ㄎㄨㄤˊ
東方澤鵟 ㄉㄨㄥ-ㄈㄤ-ㄗㄜˊ-ㄎㄨㄤˊ
灰澤鵟 ㄏㄨㄟ-ㄗㄜˊ-ㄎㄨㄤˊ
花澤鵟 ㄏㄨㄚ-ㄗㄜˊ-ㄎㄨㄤˊ
蒼鷹 ㄘㄤ-ㄧㄥ
赤腹鷹 ㄔˋ-ㄈㄨˋ-ㄧㄥ
日本松雀鷹 ㄖˋ-ㄅㄣˇ-ㄙㄨㄥ-ㄑㄩㄝˋ-ㄧㄥˉ
北雀鷹 ㄅㄟˇ-ㄑㄩㄝˋ-ㄧㄥ
黑鳶 ㄏㄟ-ㄩㄢ
栗鳶 ㄌㄧˋ-ㄩㄢ
白尾海鵰 ㄅㄞˊ-ㄨㄟˇ-ㄏㄞˇ-ㄉㄧㄠ
白腹海鵰 ㄅㄞˊ-ㄈㄨˋ-ㄏㄞˇ-ㄉㄧㄠ
毛足鵟 ㄇㄠˊ-ㄗㄨˊ-ㄎㄨㄤˊ
歐亞鵟 ㄡ-ㄧㄚˇ-ㄎㄨㄤˊ
東方鵟 ㄉㄨㄥ-ㄈㄤ-ㄎㄨㄤˊ
大鵟 ㄉㄚˋ-ㄎㄨㄤˊ
草鴞 ㄘㄠˇ-ㄒㄧㄠ
黃嘴角鴞 ㄏㄨㄤˊ-ㄗㄨㄟˇ-ㄐㄧㄠˇ-ㄒㄧㄠ
領角鴞 ㄌㄧㄥˇ-ㄐㄧㄠˇ-ㄒㄧㄠ
蘭嶼角鴞 ㄌㄢˊ-ㄩˇ-ㄐㄧㄠˇ-ㄒㄧㄠ
東方角鴞 ㄉㄨㄥ-ㄈㄤ-ㄐㄧㄠˇ-ㄒㄧㄠ
黃魚鴞 ㄏㄨㄤˊ-ㄩˊ-ㄒㄧㄠ
鵂鶹 ㄒㄧㄡ-ㄌㄧㄡˊ
縱紋腹小鴞 ㄗㄨㄥˋ-ㄨㄣˊ-ㄈㄨˋ-ㄒㄧㄠˇ-ㄒㄧㄠˉ
褐林鴞 ㄏㄜˊ-ㄌㄧㄣˊ-ㄒㄧㄠ
